year,country,continent,income_level,inflow,outflow,net_flow
2000,Algeria,Africa,Lower middle income,2503232250.605582,-8178039142.436844,-5674806891.831262
2000,Angola,Africa,Lower middle income,4613051099.044834,-6781732571.746888,-2168681472.702054
2000,Argentina,America,Upper middle income,18904024158.868145,-18478939837.039673,425084321.82847214
2000,Armenia,Asia,Upper middle income,438581420.14280653,-62186693.59851829,376394726.5442882
2000,Azerbaijan,Asia,Upper middle income,1106902346.101971,-152194705.70265216,954707640.3993187
2000,Belarus,Europe,Upper middle income,497261634.7976572,-525970088.7561838,-28708453.95852661
2000,Belize,America,Upper middle income,332845486.339033,-103087173.30180727,229758313.03722572
2000,Botswana,Africa,Upper middle income,98927549.36538842,-115847054.24024412,-16919504.874855697
2000,Brazil,America,Upper middle income,36274631220.571655,-32670879998.078686,3603751222.4929695
2000,Bulgaria,Europe,Upper middle income,1349088391.0702424,-2393114689.619636,-1044026298.5493937
2000,Cayman Islands,America,High income,78811.48848111948,0.0,78811.48848111948
2000,Colombia,America,Upper middle income,4986782096.984008,-5405296642.387453,-418514545.40344524
2000,Congo Republic,Africa,Lower middle income,81232665.04108955,-38757121.18617231,42475543.85491724
2000,Costa Rica,America,Upper middle income,1575428819.0150893,-1129015613.2992632,446413205.71582603
2000,Cote d'Ivoire,Africa,Lower middle income,783363472.6324482,-1393722408.604131,-610358935.9716828
2000,Dominica,America,Upper middle income,94010610.44684568,-14923914.281625224,79086696.16522045
2000,Dominican Republic,America,Upper middle income,667432789.6605543,-809369538.8116893,-141936749.15113497
2000,Ecuador,America,Upper middle income,2948379077.1052027,-7807947642.305369,-4859568565.200167
2000,Egypt,Africa,Lower middle income,2964989432.1418524,-2799846510.4957056,165142921.64614677
2000,El Salvador,America,Lower middle income,807207155.584413,-472716614.4499639,334490541.1344491
2000,Fiji,Oceania,Upper middle income,58651057.01014002,-47851962.112886086,10799094.89725393
2000,Gabon,Africa,Upper middle income,199928369.28056532,-745519197.3324498,-545590828.0518844
2000,Grenada,America,Upper middle income,132596879.44990334,-20817277.5047733,111779601.94513004
2000,Guatemala,America,Upper middle income,886226585.3658817,-753485808.9340122,132740776.4318695
2000,India,Asia,Lower middle income,19209775983.145443,-16789200095.679924,2420575887.465519
2000,Indonesia,Asia,Lower middle income,10623066350.422205,-19517875314.248535,-8894808963.82633
2000,Iran,Asia,Lower middle income,885984660.4005885,-1368798871.2125554,-482814210.8119669
2000,Iraq,Asia,Upper middle income,167163243.38252503,0.0,167163243.38252503
2000,Jamaica,America,Upper middle income,1607767916.560762,-919480692.8140211,688287223.7467408
2000,Jordan,Asia,Upper middle income,1143330783.031338,-1252958632.4174407,-109627849.38610268
2000,Kazakhstan,Asia,Upper middle income,2476756775.524225,-1670330626.499497,806426149.0247283
2000,Lebanon,Asia,Lower middle income,2821549815.1169662,-1361862080.7201786,1459687734.3967876
2000,Lesotho,Africa,Lower middle income,179403363.55930763,-95566895.50074631,83836468.05856133
2000,Liberia,Africa,Low income,105637572.08043623,0.0,105637572.08043623
2000,Maldives,Asia,Upper middle income,50053466.05955711,-41447840.00135068,8605626.058206432
2000,Mauritius,Africa,Upper middle income,195234733.4390498,-581173304.7227783,-385938571.2837285
2000,Mexico,America,Upper middle income,16872059492.68769,-36030213576.80433,-19158154084.11664
2000,Moldova,Europe,Upper middle income,390122882.10033983,-334901988.5321744,55220893.56816542
2000,Mongolia,Asia,Lower middle income,462806376.4388801,-126855462.66705613,335950913.77182394
2000,Morocco,Africa,Lower middle income,2003104847.9402447,-3444029391.6253314,-1440924543.6850867
2000,Nigeria,Africa,Lower middle income,512320280.8881413,-3805200113.2801375,-3292879832.3919964
2000,North Macedonia,Europe,Upper middle income,536115742.87895525,-117025122.23499893,419090620.6439563
2000,Pakistan,Asia,Lower middle income,2725059602.191112,-2739299021.955556,-14239419.764443874
2000,Paraguay,America,Upper middle income,525074689.00567544,-482119633.534355,42955055.47132045
2000,Peru,America,Upper middle income,3300422649.2945123,-3979871002.7439203,-679448353.449408
2000,Philippines,Asia,Lower middle income,9363066960.242159,-7441160229.987869,1921906730.2542896
2000,Serbia,Europe,Upper middle income,2569174573.696064,0.0,2569174573.696064
2000,South Africa,Africa,Upper middle income,3802571758.5766244,-3807886912.913609,-5315154.336984634
