year,country,income_level,continent,net_flow,iso_3,gdp,net_flows_over_gdp_percent,nnt
2022,Albania,Upper middle income,Europe,0.23197158820000005,ALB,19.083,1.215592874286014,
2022,Algeria,Lower middle income,Africa,0.11226608460000001,DZA,195.06,0.05755464195632114,
2022,Angola,Lower middle income,Africa,-0.8864178457000008,AGO,122.781,-0.7219503389775297,net negative transfers
2022,Argentina,Upper middle income,America,-0.7712333008999996,ARG,630.606,-0.12230034298753892,net negative transfers
2022,Armenia,Upper middle income,Asia,0.20259294820000004,ARM,19.514,1.0381928266885316,
2022,Azerbaijan,Upper middle income,Asia,-0.7891687264000001,AZE,78.721,-1.0024881879041172,net negative transfers
2022,Bangladesh,Lower middle income,Asia,8.682725981799999,BGD,460.201,1.886724709811582,
2022,Belarus,Upper middle income,Europe,-1.4896893852999997,BLR,72.835,-2.0452933140660394,net negative transfers
2022,Belize,Upper middle income,America,0.015533646599999994,BLZ,2.985,0.5203901708542712,
2022,Benin,Lower middle income,Africa,0.9406919945,BEN,17.439,5.394185414874706,
2022,Bhutan,Lower middle income,Asia,0.17208256639999997,BTN,2.653,6.486338725970598,
2022,Bolivia,Lower middle income,America,0.5728209255,BOL,44.315,1.2926118142841023,
2022,Bosnia and Herzegovina,Upper middle income,Europe,0.1565086325,BIH,24.52,0.6382896920880913,
2022,Botswana,Upper middle income,Africa,0.12256322270000004,BWA,20.352,0.6022170926690253,
2022,Brazil,Upper middle income,America,-8.011721478599995,BRA,1920.023,-0.4172721617709786,net negative transfers
2022,Bulgaria,Upper middle income,Europe,0.9336425798999999,BGR,89.115,1.047682859114627,
2022,Burkina Faso,Low income,Africa,1.4573753876000002,BFA,18.934,7.697134190345411,
2022,Burundi,Low income,Africa,0.5934464033000001,BDI,3.918,15.146666750893315,
2022,Cabo Verde,Lower middle income,Africa,0.09976875610000001,CPV,2.308,4.32273639948007,
2022,Cambodia,Lower middle income,Asia,1.5113807484000001,KHM,28.818,5.244571963356235,
2022,Cameroon,Lower middle income,Africa,0.5226981125,CMR,44.322,1.1793197791164658,
2022,Central African Republic,Low income,Africa,0.6273626228,CAF,2.463,25.47148285830288,
2022,Chad,Low income,Africa,0.5491951553,TCD,12.096,4.540303863260582,
2022,Colombia,Upper middle income,America,2.1164964085,COL,343.622,0.61593739879868,
2022,Comoros,Lower middle income,Africa,0.1504603271,COM,1.237,12.163324745351659,
2022,Congo Republic,Lower middle income,Africa,-0.36334405329999997,COG,13.961,-2.6025646680037244,net negative transfers
