year,country,income_level,continent,inflow,outflow,gdp,inflow_gdp,outflow_gdp
2022,Albania,Upper middle income,Europe,642955320.2,410983732.0,19083000000.0,3.3692570361054344,2.1536641618194206
2022,Algeria,Lower middle income,Africa,237560000.0,125293915.39999999,195060000000.0,0.12178816774325849,0.06423352578693735
2022,Angola,Lower middle income,Africa,7803984832.4,8690402678.1,122781000000.0,6.356019931748397,7.077970270725927
2022,Argentina,Upper middle income,America,7226792300.3,7998025601.2,630606000000.0,1.1460075388277309,1.2683078818152698
2022,Armenia,Upper middle income,Asia,620602792.1,418009843.9,19514000000.0,3.18029513221277,2.142102305524239
2022,Azerbaijan,Upper middle income,Asia,627686214.3,1416854940.7,78721000000.0,0.7973554887514132,1.7998436766555304
2022,Bangladesh,Lower middle income,Asia,12084465166.8,3401739185.0,460201000000.0,2.6259102363532456,0.7391855265416634
2022,Belarus,Upper middle income,Europe,2073738360.4,3563427745.7,72835000000.0,2.8471728707352235,4.892466184801263
2022,Belize,Upper middle income,America,87169183.0,71635536.4,2985000000.0,2.920240636515913,2.399850465661642
2022,Benin,Lower middle income,Africa,1396303482.3,455611487.8,17439000000.0,8.006786411491484,2.6126009966167785
2022,Bhutan,Lower middle income,Asia,287778552.7,115695986.3,2653000000.0,10.847288077647946,4.3609493516773465
2022,Bolivia,Lower middle income,America,2381575667.6,1808754742.1,44315000000.0,5.374197602617624,4.081585788333522
2022,Bosnia and Herzegovina,Upper middle income,Europe,590421883.0,433913250.5,24520000000.0,2.407919588091354,1.7696298960032626
2022,Botswana,Upper middle income,Africa,281642586.6,159079363.89999998,20352000000.0,1.3838570489386794,0.781639956269654
2022,Brazil,Upper middle income,America,22954426941.4,30966148419.999996,1920023000000.0,1.1955287484264512,1.6128009101974297
2022,Bulgaria,Upper middle income,Europe,2870463123.6,1936820543.7,89115000000.0,3.221077398417775,2.1733945393031475
2022,Burkina Faso,Low income,Africa,1640665063.7,183289676.1,18934000000.0,8.66517937942326,0.9680451890778494
2022,Burundi,Low income,Africa,619021895.2,25575491.9,3918000000.0,15.799435814190916,0.6527690632976009
2022,Cabo Verde,Lower middle income,Africa,196806627.0,97037870.89999999,2308000000.0,8.527150216637782,4.204413817157712
2022,Cambodia,Lower middle income,Asia,1978832627.9,467451879.5,28818000000.0,6.866654965299466,1.62208300194323
2022,Cameroon,Lower middle income,Africa,2178098716.1,1655400603.6,44322000000.0,4.914260900004512,3.7349411208880468
2022,Central African Republic,Low income,Africa,634517933.3,7155310.5,2463000000.0,25.761994855866828,0.2905119975639464
2022,Chad,Low income,Africa,768886317.5,219691162.2,12096000000.0,6.356533709490741,1.8162298462301587
2022,Colombia,Upper middle income,America,10914850196.3,8798353787.8,343622000000.0,3.1764119283107597,2.5604745295120797
2022,Comoros,Lower middle income,Africa,152124498.8,1664171.7000000002,1237000000.0,12.297857623282136,0.134532877930477
2022,Congo Republic,Lower middle income,Africa,462903159.5,826247212.8,13961000000.0,3.315687697872645,5.91825236587637
