year,country,counterpart_type,value,percent
2010-2014,Developing countries,Bilateral,23030174379.98,14.9
2010-2014,Developing countries,Multilateral,33660765625.04,21.8
2010-2014,Developing countries,Private,92373286754.86,60.0
2010-2014,Developing countries,China,4991741988.86,3.2
2018-2022,Developing countries,Bilateral,28360183474.98,9.5
2018-2022,Developing countries,Multilateral,53046590348.259995,17.7
2018-2022,Developing countries,Private,198380401929.92,66.2
2018-2022,Developing countries,China,20072599966.18,6.7
2023-2025 (projected),Developing countries,Bilateral,34281527902.400005,10.0
2023-2025 (projected),Developing countries,Multilateral,89057223878.7,26.0
2023-2025 (projected),Developing countries,Private,186066656959.19998,54.3
2023-2025 (projected),Developing countries,China,33342483605.36667,9.7
2010-2014,Low income,Bilateral,656557990.74,23.5
2010-2014,Low income,Multilateral,1217279483.8600001,43.6
2010-2014,Low income,Private,374836381.74,13.4
2010-2014,Low income,China,545345366.7,19.5
2018-2022,Low income,Bilateral,662555072.9,10.4
2018-2022,Low income,Multilateral,2335487630.82,36.7
2018-2022,Low income,Private,1645197324.72,25.8
2018-2022,Low income,China,1721865545.56,27.1
2023-2025 (projected),Low income,Bilateral,1856897364.2333333,14.2
2023-2025 (projected),Low income,Multilateral,4460019260.433333,34.1
2023-2025 (projected),Low income,Private,2544221854.633333,19.5
2023-2025 (projected),Low income,China,4211818476.566667,32.2
2010-2014,Lower middle income,Bilateral,15926676381.079998,25.4
2010-2014,Lower middle income,Multilateral,14696648261.48,23.4
2010-2014,Lower middle income,Private,29366383952.78,46.8
2010-2014,Lower middle income,China,2720470174.46,4.3
2018-2022,Lower middle income,Bilateral,16933060400.920002,13.5
2018-2022,Lower middle income,Multilateral,27074936962.14,21.6
2018-2022,Lower middle income,Private,69892854680.14,55.7
2018-2022,Lower middle income,China,11515613720.7,9.2
2023-2025 (projected),Lower middle income,Bilateral,22082358699.266666,12.9
2023-2025 (projected),Lower middle income,Multilateral,48681302938.4,28.5
2023-2025 (projected),Lower middle income,Private,77091737814.06667,45.2
2023-2025 (projected),Lower middle income,China,22737464561.966667,13.3
2010-2014,Upper middle income,Bilateral,6446940008.16,7.3
2010-2014,Upper middle income,Multilateral,17746837879.7,20.0
2010-2014,Upper middle income,Private,62632066420.340004,70.7
2010-2014,Upper middle income,China,1725926447.7,1.9
2018-2022,Upper middle income,Bilateral,10764568001.16,6.4
2018-2022,Upper middle income,Multilateral,23636165755.3,14.1
2018-2022,Upper middle income,Private,126842349925.06001,75.5
2018-2022,Upper middle income,China,6835120699.92,4.1
2023-2025 (projected),Upper middle income,Bilateral,10342271838.9,6.5
2023-2025 (projected),Upper middle income,Multilateral,35915901679.86667,22.6
2023-2025 (projected),Upper middle income,Private,106430697290.5,66.9
2023-2025 (projected),Upper middle income,China,6393200566.833333,4.0
2010-2014,Africa,Bilateral,5064700943.9800005,20.9
2010-2014,Africa,Multilateral,5239671354.780001,21.7
2010-2014,Africa,Private,11795951609.32,48.8
2010-2014,Africa,China,2078413941.52,8.6
2018-2022,Africa,Bilateral,7858541421.780001,13.1
2018-2022,Africa,Multilateral,12282204670.079998,20.4
